Princeton University,NJ,45320,7,1,5402,https://www.princeton.edu/
Harvard University,MA,47074,5.6,2,6699,https://www.harvard.edu/
University of Chicago,IL,52491,8.4,3,5844,https://www.uchicago.edu/
Yale University,CT,49480,6.7,4,5532,https://www.yale.edu/
Columbia University,NY,55056,6.6,5,6102,https://www.columbia.edu/
Stanford University,CA,47940,5,6,6999,https://www.stanford.edu/
Massachusetts Institute of Technology,MA,48452,8.3,7,4527,https://web.mit.edu/
Duke University,NC,51265,11.4,8,6639,https://www.duke.edu/
University of Pennsylvania,PA,51464,10.2,9,9726,https://www.upenn.edu/
Johns Hopkins University,MD,50410,14.1,10,6524,https://www.jhu.edu/
Dartmouth College,NH,51438,11,11,4307,https://home.dartmouth.edu/
California Institute of Technology,CA,47577,8.8,12,1001,http://www.caltech.edu/
Northwestern University,IL,50855,13,13,8314,https://www.northwestern.edu/
Brown University,RI,51367,9.5,14,6652,https://www.brown.edu/
Cornell University,NY,50953,15.1,15,14315,https://www.cornell.edu/
Rice University,TX,43918,16,16,3910,http://www.rice.edu/
University of Notre Dame,IN,49685,19.8,17,8462,https://www.nd.edu/
Vanderbilt University,TN,45610,11.7,18,6883,https://vanderbilt.edu/
Washington University in St. Louis,MO,49770,16.7,19,7504,https://wustl.edu/
Emory University,GA,47954,23.7,20,6867,http://www.emory.edu/home/index.html
Georgetown University,DC,50547,17.2,21,7562,https://www.georgetown.edu/
University of California--Berkeley,CA,40191,16.9,22,27496,https://www.berkeley.edu/
University of Southern California,CA,52217,17.7,23,18810,https://www.usc.edu/
Carnegie Mellon University,PA,52040,23.7,24,6454,https://www.cmu.edu/
University of California--Los Angeles,CA,39518,17.3,25,29585,http://www.ucla.edu/
University of Virginia,VA,45066,29.8,26,16736,http://www.virginia.edu/
Tufts University,MA,52430,16.1,27,5290,https://www.tufts.edu/
University of Michigan--Ann Arbor,MI,43476,26.3,28,28312,https://umich.edu/
Wake Forest University,NC,49308,29.4,29,4871,https://www.wfu.edu/
University of North Carolina--Chapel Hill,NC,33916,30.5,30,18415,https://www.unc.edu/
Boston College,MA,51296,28.5,31,9192,https://www.bc.edu/
College of William & Mary,VA,41718,34.5,32,6301,http://www.wm.edu/
University of Rochester,NY,50142,33.8,33,6304,https://www.rochester.edu/
Brandeis University,MA,51570,34,34,3621,http://www.brandeis.edu/
Georgia Institute of Technology,GA,32404,32.2,35,15142,http://www.gatech.edu/
New York University,NY,49062,32.1,36,25722,https://www.nyu.edu/
Case Western Reserve University,OH,46006,36.3,37,5121,https://case.edu/
University of California--Santa Barbara,CA,40704,32.6,38,20607,https://www.ucsb.edu/
Boston University,MA,50240,32.6,39,17932,https://www.bu.edu/
Northeastern University,MA,47655,28.5,40,13697,https://www.northeastern.edu/
Rensselaer Polytechnic Institute,NY,50797,41.9,41,5864,https://www.rpi.edu/
Tulane University,LA,51010,30.5,42,6662,http://www.tulane.edu/
University of California--Irvine,CA,39458,38.7,43,25256,https://uci.edu/
Lehigh University,PA,48320,30.4,44,5075,https://www1.lehigh.edu/
University of California--Davis,CA,40728,38,45,28384,https://www.ucdavis.edu/
University of California--San Diego,CA,41387,33.7,46,26590,https://ucsd.edu/
University of Illinois--Urbana-Champaign,IL,31320,65.6,47,33368,http://www.illinois.edu/
University of Miami,FL,47004,37.8,48,11122,https://welcome.miami.edu/
